$	dólar
saldar	liquidar pagar
salero	aire airosidad garbo gracia graciosidad
salida	agudeza chiste escapada excursión ida idea línea_de_salida marcha ocurrencia partida
saliente	destacado prominente sorprendente
salinidad	salobridad
salir	aparecer dejar emerger estrenarse ir irse largarse marchar marcharse partir resultar retirarse surgir
salita	cuarto_de_estar sala_de_estar salón
salmonete	cacho
salobridad	salinidad
salpicar	derramar desparramar desparramarse esparcir mojar regar rociar verter verterse
saltar	botar brincar rebotar sobresalir
salto	brinco
salubre	rubicundo saludable sano
saludable	beneficioso bueno rubicundo salubre sano
salvación	preservación
salvajada	barbaridad barbarie barbarismo brutalidad ensañamiento
salvaje	atroz bravo brutal bárbaro cruel desatado feroz ferviente fiero furioso incivilizado incontrolado indomado natural riguroso violento
salvar	pasar
salón	cuarto_de_estar sala sala_de_estar salita
sambenito	ignominia
sanador	curativo medicinal remediador terapéutico
sanar	curar
sancionar	aprobar
sangre_fría	aplomo cara descaro desfachatez desvergüenza osadía serenidad
sangriento	sanguinario violento
sanguinario	sangriento violento
sano	rubicundo salubre saludable
santa_patrona	patrona patrono patrón
santo	angelical angélico
saque	servicio
saquear	despojar desvalijar expoliar pillar
sarao	agitación alboroto barrila bullicio cacao conmoción disturbios lío movida perturbación ruido tomate trapisonda trastorno tumulto
sarcasmo	burla dicterio escarnio ironía mofa pulla rehilete
satanás	belcebú demonio diablo espíritu_maligno lucifer luzbel satán
satinado	brillante lustroso sedoso
satisfacción	cumplimiento gratificación
satisfacer	complacer consentir
satisfactorio	aceptable agradable gratificante
satisfecho	complacido contento
saturnino	adusto agrio austero desabrido hosco lúgubre retraïdo sombrío
satán	belcebú demonio diablo espíritu_maligno lucifer luzbel satanás
saya	combinación enaguas forro refajo viso
seca	banco banco_de_arena médano placer secano
secano	banco banco_de_arena médano placer seca
secar	enjugar limpiar quitar
secarse	enjugar
sección	apartado aspecto departamento división lado parte sector unidad
seco	brusco cadavérico chupado consumido cortante delgaducho demacrado descarnado duro enclenque enjuto escuálido esquelético frío huesudo marchito paso raquítico reseco
secretariado	secretaría
secretaría	secretariado
secreto	arcano cabalístico clandestino confidencial críptico encriptado encubierto enigmático escondido interno misterioso oculto privado
sector	parte ramo sección sector_de_ocupación
sector_de_ocupación	ramo sector
secuaz	partidaria partidario seguidor seguidora
secuencia	secuencia_cronológica serie sucesión
secuencia_cronológica	secuencia serie sucesión
secuestrar	coger raptar
secular	laico lego mundano profano seglar temporal
secundar	confirmar corroborar sostener
sed	acucia anhelación anhelo hambre pujo regosto
sedante	ansiolítico calmante
sedimento	depósito
sedoso	brillante lustroso satinado
seducción	conquista fascinación tentación
seductor	arrebatador casanova cautivador encantador fascinante
seglar	laico lego mundano profano secular temporal
segmentación	división fragmentación partición partija
segregado	aislado separado
seguido	consecutivo
seguidor	adepta adepto aficionada aficionado amiga amigo entusiasta partidaria partidario secuaz seguidora
seguidora	aficionada aficionado partidaria partidario secuaz seguidor
seguimiento	revisión
seguir	adoptar ajustarse avanzar continuar guiarse mantener mantenerse_al_día permanecer persistir preservar proceder proseguir quedarse resultar tomar
seguirse	resultar
segundo	instante momentito primer_oficial s último
seguridad	certeza determinación firmeza garantía
seguridad_social	seguro ss
seguro	certero definido definitivo despreocupado estable fiable fiador fijo firme forzoso imperdible ineludible inevitable inexorable infalible preciso protegido puerta póliza póliza_de_seguros recaudo seguridad_social ss tope
seleccionar	coger escoger
selección	elección
selecto	distinguido excelente florido superior
sello	prestigio timbre
semanal	hebdomadario semanario
semanario	hebdomadario semanal
semblante	rostro
sembrado	cultivo labranza plantación plantío
sembradío	campo labrantío terreno
semejante	igual parecido similar
semejanza	igualdad similitud
sencillo	comedido humilde iletrado inculto literal llano modesto popular profano simple sobrio
senda	sendero
sendero	senda
seno	abra bahía cala ensenada madre matriz rada
sensacional	brutal bárbaro clamoroso estupendo extraordinario fantástico fenomenal formidable genial impresionante magnífico maravilloso
sensación	experiencia_sensorial impresión_sensorial percepción
sensación_auditiva	sonido
sensatez	juicio sabiduría
sensato	acertado diplomático inteligente juicioso mesurado prudente razonable reflexivo sabio sagaz
sensibilidad	incomodidad irritación molestia
sensible	alérgico dolorido hipersensible sensitivo
sensitivo	sensible
sensorial	receptivo
sentar	asentarse posarse sentarse
sentarse	agazaparse asentarse posarse sentar
sentencia	acto auto decreto fallo
sentido	camino cordial curso dirección don rumbo significado sincero trayectoria
sentido_del_equilibrio	equilibrio sentido_laberíntico
sentido_laberíntico	equilibrio sentido_del_equilibrio
sentir	arrepentirse considerar creer deplorar encontrar experimentar lamentar notar percibir saber
separado	aislado autónomo desconectado desligado espaciado independiente segregado suelto
separar	clasificar despegar desvincular divergir dividir dividirse escindir partir repartir separarse soltar
separarse	dividir dividirse escindir partir separar
septentrional	norte norteño nórdico
sepultura	tumba
sequedad	brusquedad
ser	organismo
ser_equivalente	equivaler significar
ser_humano	alma humano individuo mortal persona
ser_útil	asistir atender cuidar servir
serenar	ablandarse aquietar atemperar calmar dulcificarse moderar sosegar
serenarse	apaciguarse callarse calmarse sosegar
serenidad	aplomo calma calmosidad placidez sangre_fría sosiego tranquilidad
sereno	apacible atractivo buen bueno calmado calmo equilibrado plácido quieto relajado sosegado tranquilo
serial	serie
serie	secuencia secuencia_cronológica serial sucesión
seriedad	agudeza corrección formalidad gravedad procedencia propiedad solemnidad
serio	bueno formal grave molesto peligroso severo sincero sobrio terrible tremendo
sermonear	predicar
sermón	discurso
serpentear	retorcer torcer trenzar
servicial	atento complaciente solícito
servicio	prestación saque váter w.c.
servicios	aseos evacuatorio mingitorio
servidor	artillero
servir	asistir atender cuidar ejercer escanciar militar sacar ser_útil
sesgado	diagonal inclinado oblicuo soslayado
sesión	función representación
set	conjunto juego
severidad	adustez rigor rigurosidad
severo	adusto agudo austero cortante cruel despiadado duro espartano estricto extremo grave implacable incisivo inexorable mordaz peligroso penoso profundo punzante riguroso serio terminante terrible tremendo
sexo	genitales partes relaciones_sexuales
seña	gesto señal
señal	adelanto anticipo arras entrada estímulo gesto huella imprenta indicador marca paga_y_señal seña signo
señalar	apuntar demostrar denunciar describir distinguir enseñar indicar marcar mostrar notar observar probar reportar
señor	caballero don sr
señora	dama
señorita	chica
shock	choque
si	número_atómico_14
siamés	gemelo idéntico
sicodélico	psicodélico
sierra	cadena_montañosa cordillera
siesta	siestecilla
siestecilla	siesta
significación	implicación relevancia
significado	sentido
significar	equivaler querer_decir representar ser_equivalente
significativo	indicativo revelador
signo	marca señal
signo_de_admiración	admiración exclamación
siguiente	futuro próximo subsiguiente sucesivo
silbar	susurrar
silencio	quietud tranquilidad
silencioso	callado plácido tranquilo
sima	abismo
simbolización	símbolo
simbólico	emblemático
similar	igual parecido semejante
similitud	igualdad semejanza
simio	mono
simpatía	afección afecto afición benevolencia cariño comprensión entendimiento gusto ternura
simple	básico diferente distinto elemental mero puro sencillo simplón tonto
simplicidad	facilidad naturalidad soltura
simplificación	reducción
simplón	simple tonto
simpático	adorable afable afectuoso agradable amable atrayente bonachón bondadoso bonito cariñoso cordial cálido cándido dulce encantador favorable tierno
simular	aparentar comportarse fingir hacer_ver
simultáneo	coincidente concurrente
sincero	abierto cordial directo firme franco sentido serio
singular	curioso extraño inusual original peculiar raro único
siniestro	agorero amenazador calamidad cataclismo catástrofe desastre funesto hecatombe tragedia
sino	circunstancias destino fortuna hado suerte
sintomático	diagnóstico
sinvergüenza	bribón cabrón canalla gilipollas miserable perro
sistema	aparato disposición orden ordenación organización unidad
sistema_de_alarma	alarma
sistema_de_transporte	transporte
sistemático	metódico ordenado
sitio	colocación emplazamiento localización lugar posición puesto radicación relación_espacial situación
situación	colocación emplazamiento localización posición radicación relación_espacial sitio
situar	apostar colocar emplazar poner posicionar ubicar
sn	estaño
soba	besuqueo caricia sobeo
sobeo	besuqueo caricia soba
soberano	supremo
soberbia	altanería altivez altiveza arrogancia copete descuello desvanecimiento elación encumbramiento endiosamiento entono envalentonamiento fuero hinchazón inmodestia lozanía orgullo penacho pescuezo prepotencia pretensión suficiencia toldo ufanía ventolera
soberbio	altanero altivo arrogante orgulloso prepotente
sobra	demasía desmán excedente exceso plétora remanente sobrante
sobrante	demasía demás desmán excedente excesivo exceso extra plétora remanente restante sobra
sobrecogedor	calamitoso espantoso fatal horrendo horrible horroroso pavoroso temible terrible tremendo
sobrepasar	aventajar exceder sobrepujar superar
sobrepujar	aventajar exceder sobrepasar superar
sobresalir	saltar
sobresaltar	alarmar horrorizar
sobreviviente	viviente vivo
sobrevivir	existir subsistir superar vivir
sobrio	comedido formal humilde modesto sencillo serio
socapa	callejuela efugio rodeo subterfugio
socarrón	artero astuto bellaco ladino pícaro sagaz
socia	amigota amigote amigueta amiguete camarada colega compañera compañero compinche hermana hermano socio
sociable	abierto acogedor amistoso comunicativo extrovertido
sociedad	asociación consorcio
socio	amigota amigote amigueta amiguete camarada colega compañera compañero compinche hermana hermano socia
soez	basto bestial brutal bruto grosero ordinario rudo tosco vulgar zafio
sofisma	ardid argucia arte artería astucia embaucamiento estratagema farfolla fullería picaresca
sofisticado	urbano
sofocante	bochornoso tropical trópico
sofocar	ahogar asfixiar estrangular
sojuzgar	avasallar subyugar
sol	amor cariño cielo corazón querida querido
solaz	consolación consuelo
soldada	asignación estipendio jornal nómina paga remuneración retribución salario
soldadesca	efectivo milicia
solemne	ceremonial decoroso elegante formal sombrío
solemnidad	seriedad
solevamiento	alzamiento insurrección levantamiento rebelión revuelta sublevación
solicitar	dirigir_una_instancia pedir rogar
solicitud	instancia petición
solitario	aislado apartado eremítico poco_frecuentado recogido retirado solo único
solo	aislado eremítico solitario único
soltar	aflojar desapretar desatar desembolsar relajar separar
soltarse	aflojarse relajarse
soltura	facilidad naturalidad simplicidad
solucionar	aclarar clarificar despejar resolver retirar
solución	resolución respuesta resultado
solícito	atento complaciente servicial
somanta	paliza tunda tute
sombra	asomo indicio oscuridad
sombreado	ensombrecido ombrío sombroso sombrío umbroso umbrío
sombrerete	carpóforo píleo sombrerillo sombrerito
